epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6909,2.11536,3.78999,1.40609,0.00105,0.03905,0.0043,0.00139,2.38658,4.46414,1.60529,0.000363346,0.000363346,0.000363346
2,80.3754,1.68849,1.98246,1.12995,0.84844,0.23826,0.44551,0.23992,1.50538,2.74369,1.10066,0.000719152,0.000719152,0.000719152
3,98.4208,1.5789,1.60948,1.10991,0.65039,0.5316,0.50476,0.23394,1.75394,1.55879,1.21777,0.00106029,0.00106029,0.00106029
4,116.186,1.51569,1.46077,1.10003,0.72557,0.52726,0.55768,0.30455,1.51904,1.43823,1.12971,0.00104501,0.00104501,0.00104501
5,134.048,1.4663,1.37722,1.08117,0.75548,0.55535,0.64366,0.32678,1.75268,1.32275,1.21371,0.00102301,0.00102301,0.00102301
6,151.814,1.46949,1.29076,1.0818,0.73628,0.56257,0.64412,0.36651,1.47084,1.22107,1.09932,0.00100101,0.00100101,0.00100101
7,169.597,1.42082,1.20504,1.06621,0.65451,0.75114,0.7457,0.42445,1.46333,1.1341,1.09158,0.000979013,0.000979013,0.000979013
8,187.363,1.42043,1.16479,1.06794,0.80381,0.7601,0.82876,0.47071,1.47289,1.14532,1.08307,0.000957015,0.000957015,0.000957015
9,205.06,1.39294,1.14354,1.05626,0.73788,0.79526,0.83017,0.50744,1.38707,1.11027,1.06811,0.000935018,0.000935018,0.000935018
10,222.774,1.39112,1.08921,1.05802,0.82565,0.81935,0.84335,0.49932,1.42816,1.1267,1.0754,0.00091302,0.00091302,0.00091302
11,240.445,1.36703,1.05192,1.04662,0.83119,0.75075,0.83421,0.50957,1.4134,1.11847,1.07588,0.000891022,0.000891022,0.000891022
12,258.207,1.35249,1.03954,1.04196,0.71285,0.83716,0.84042,0.49995,1.3919,1.04824,1.05869,0.000869024,0.000869024,0.000869024
13,275.803,1.35313,1.02545,1.04574,0.77167,0.86149,0.85456,0.50903,1.41479,1.03408,1.07302,0.000847026,0.000847026,0.000847026
14,293.617,1.33238,0.99781,1.04089,0.77607,0.80209,0.84021,0.51321,1.38335,1.02733,1.06788,0.000825029,0.000825029,0.000825029
15,311.332,1.32369,0.97116,1.03441,0.79104,0.79067,0.82918,0.5072,1.42238,1.05389,1.07308,0.000803031,0.000803031,0.000803031
16,328.991,1.31795,0.95339,1.03572,0.81172,0.82314,0.8521,0.51754,1.38197,0.99025,1.05964,0.000781033,0.000781033,0.000781033
17,346.745,1.31996,0.94721,1.03385,0.81105,0.84536,0.85267,0.52339,1.37541,0.98578,1.05294,0.000759035,0.000759035,0.000759035
18,364.529,1.31165,0.92037,1.02864,0.80821,0.8015,0.84301,0.51862,1.413,1.0225,1.07359,0.000737037,0.000737037,0.000737037
19,382.398,1.30385,0.91739,1.02516,0.80984,0.85083,0.85957,0.50677,1.44111,0.96225,1.07095,0.00071504,0.00071504,0.00071504
20,400.096,1.29363,0.9053,1.02029,0.79818,0.84645,0.85943,0.53111,1.38311,0.99252,1.05508,0.000693042,0.000693042,0.000693042
21,417.767,1.28782,0.90487,1.0214,0.80426,0.7342,0.8289,0.50807,1.39222,1.01634,1.06192,0.000671044,0.000671044,0.000671044
22,435.562,1.28895,0.88438,1.01823,0.81951,0.81806,0.84626,0.52666,1.38654,0.99316,1.05963,0.000649046,0.000649046,0.000649046
23,453.257,1.26993,0.8616,1.00971,0.79041,0.84396,0.85805,0.54739,1.36169,0.94085,1.0476,0.000627048,0.000627048,0.000627048
24,470.979,1.25824,0.85887,1.01622,0.83772,0.79638,0.85093,0.51647,1.43146,0.9977,1.07525,0.000605051,0.000605051,0.000605051
25,488.564,1.25887,0.85635,1.01025,0.81129,0.77866,0.84108,0.50774,1.40468,0.97818,1.06658,0.000583053,0.000583053,0.000583053
26,506.248,1.24934,0.84124,1.007,0.83543,0.76317,0.83711,0.52976,1.38946,1.01012,1.06107,0.000561055,0.000561055,0.000561055
