epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0921,2.0309,3.33995,1.40361,0.00141,0.12787,0.00696,0.00187,1.56631,4.18438,1.08692,0.000363346,0.000363346,0.000363346
2,103.36,1.57227,1.61261,1.1385,0.01555,0.70337,0.42552,0.2129,1.49651,3.06442,1.09263,0.000719152,0.000719152,0.000719152
3,133.027,1.48575,1.37134,1.11423,0.75484,0.59096,0.58884,0.28149,1.75068,1.43527,1.21522,0.00106029,0.00106029,0.00106029
4,162.241,1.46524,1.26092,1.10915,0.78666,0.59447,0.70358,0.42265,1.41459,1.15818,1.09583,0.00104501,0.00104501,0.00104501
5,191.652,1.39425,1.15501,1.07939,0.77436,0.79927,0.8259,0.49275,1.49319,1.13997,1.12728,0.00102301,0.00102301,0.00102301
6,221.041,1.40751,1.10069,1.08819,0.81302,0.73503,0.82303,0.50156,1.39019,1.06694,1.08133,0.00100101,0.00100101,0.00100101
7,250.433,1.36628,1.03014,1.07084,0.78783,0.87547,0.85866,0.54518,1.36069,1.04364,1.07804,0.000979013,0.000979013,0.000979013
8,279.711,1.36923,0.99794,1.07508,0.82261,0.84944,0.87287,0.54443,1.34983,0.94197,1.06871,0.000957015,0.000957015,0.000957015
9,309.066,1.34117,0.98247,1.06067,0.73202,0.86007,0.84721,0.54181,1.32581,0.98631,1.05862,0.000935018,0.000935018,0.000935018
10,338.208,1.3244,0.94806,1.05749,0.79548,0.83117,0.8342,0.53016,1.37279,1.03639,1.07163,0.00091302,0.00091302,0.00091302
11,367.348,1.31793,0.90844,1.04837,0.7732,0.79729,0.82675,0.51719,1.36437,1.05446,1.07476,0.000891022,0.000891022,0.000891022
12,396.436,1.29576,0.89902,1.04456,0.79263,0.84678,0.8544,0.54283,1.3569,1.00367,1.0761,0.000869024,0.000869024,0.000869024
13,425.583,1.28394,0.87779,1.04508,0.81183,0.82307,0.86326,0.54532,1.34743,0.95661,1.06743,0.000847026,0.000847026,0.000847026
14,454.711,1.27517,0.85619,1.04605,0.77833,0.8153,0.83858,0.53048,1.37958,0.98105,1.08426,0.000825029,0.000825029,0.000825029
15,483.87,1.2649,0.83557,1.03734,0.8145,0.78597,0.83122,0.5045,1.4397,0.9906,1.10963,0.000803031,0.000803031,0.000803031
16,513.061,1.25514,0.81529,1.03794,0.78875,0.86956,0.85253,0.52819,1.40203,0.89752,1.0935,0.000781033,0.000781033,0.000781033
17,542.261,1.2526,0.81236,1.03451,0.75394,0.78958,0.82799,0.50667,1.44567,1.03534,1.10084,0.000759035,0.000759035,0.000759035
18,571.367,1.24602,0.79226,1.03002,0.78334,0.77665,0.82941,0.50323,1.43049,0.97638,1.09452,0.000737037,0.000737037,0.000737037
