epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9259,1.77761,3.32059,1.58516,0.59495,0.49079,0.38812,0.15621,1.77983,2.25145,1.53409,0.000368363,0.000368363,0.000368363
2,119.366,1.6077,2.16942,1.44335,0.62843,0.48481,0.45538,0.24905,1.48631,1.75793,1.39709,0.000724071,0.000724071,0.000724071
3,176.064,1.59378,1.85255,1.43992,0.60993,0.51404,0.47447,0.26579,1.51851,1.79136,1.36855,0.00106511,0.00106511,0.00106511
4,232.7,1.5494,1.61754,1.41322,0.69549,0.55366,0.57203,0.31105,1.51214,1.47676,1.37871,0.00104501,0.00104501,0.00104501
5,289.166,1.5154,1.46089,1.41322,0.70488,0.51782,0.54583,0.31287,1.48314,1.43884,1.41174,0.00102301,0.00102301,0.00102301
6,345.689,1.49792,1.37544,1.38818,0.72695,0.54459,0.58695,0.33974,1.47424,1.35768,1.37205,0.00100101,0.00100101,0.00100101
7,402.192,1.47576,1.29421,1.38684,0.75097,0.53264,0.58018,0.34373,1.4566,1.34177,1.37802,0.000979013,0.000979013,0.000979013
8,458.664,1.44952,1.2068,1.37452,0.79835,0.61029,0.72442,0.45676,1.39648,1.13174,1.33488,0.000957015,0.000957015,0.000957015
9,515.196,1.438,1.1558,1.35504,0.75565,0.67876,0.77258,0.48767,1.39485,1.09736,1.33115,0.000935018,0.000935018,0.000935018
10,571.737,1.40963,1.11519,1.34526,0.66137,0.82647,0.82844,0.50613,1.39112,1.01663,1.32093,0.00091302,0.00091302,0.00091302
11,628.295,1.3952,1.08396,1.34404,0.77888,0.74397,0.75976,0.47676,1.39209,1.00835,1.32416,0.000891022,0.000891022,0.000891022
12,684.653,1.38526,1.04434,1.34365,0.79448,0.84991,0.85152,0.53828,1.37013,0.98278,1.31636,0.000869024,0.000869024,0.000869024
13,741.164,1.35997,1.02153,1.32655,0.79118,0.8294,0.84802,0.54007,1.38531,1.04136,1.31469,0.000847026,0.000847026,0.000847026
14,797.724,1.33812,0.98355,1.31773,0.76293,0.85775,0.86126,0.52187,1.44078,1.04253,1.3611,0.000825029,0.000825029,0.000825029
15,854.152,1.33156,0.95537,1.30881,0.79865,0.84626,0.86304,0.547,1.3766,0.9578,1.32967,0.000803031,0.000803031,0.000803031
16,910.618,1.30804,0.93514,1.29093,0.80217,0.83696,0.85461,0.51371,1.39949,0.95823,1.33024,0.000781033,0.000781033,0.000781033
17,966.967,1.30133,0.90892,1.28864,0.81134,0.753,0.81277,0.51355,1.38967,0.94347,1.32453,0.000759035,0.000759035,0.000759035
18,1023.51,1.31609,0.89696,1.30917,0.83383,0.78185,0.85735,0.53789,1.38055,0.93227,1.3286,0.000737037,0.000737037,0.000737037
19,1079.89,1.28507,0.87521,1.28222,0.74111,0.77152,0.80249,0.50789,1.39196,1.13453,1.34511,0.00071504,0.00071504,0.00071504
20,1136.27,1.27933,0.84899,1.28816,0.80777,0.87602,0.87459,0.54741,1.36027,0.88158,1.3063,0.000693042,0.000693042,0.000693042
21,1192.93,1.2647,0.83521,1.27942,0.79765,0.86863,0.86208,0.55573,1.36177,0.92545,1.31326,0.000671044,0.000671044,0.000671044
22,1249.49,1.24133,0.82585,1.26463,0.79733,0.87442,0.85606,0.5326,1.36768,0.87975,1.31223,0.000649046,0.000649046,0.000649046
23,1305.76,1.25108,0.79881,1.26578,0.81012,0.84246,0.86411,0.50922,1.42572,0.86864,1.35782,0.000627048,0.000627048,0.000627048
24,1362.29,1.24276,0.77917,1.26856,0.80837,0.81462,0.84933,0.53395,1.35468,0.93571,1.31137,0.000605051,0.000605051,0.000605051
25,1418.57,1.23118,0.77301,1.25221,0.80455,0.85506,0.86514,0.52725,1.36999,0.87279,1.31904,0.000583053,0.000583053,0.000583053
26,1474.95,1.21535,0.76287,1.24615,0.80566,0.86224,0.87142,0.54653,1.37957,0.84443,1.32041,0.000561055,0.000561055,0.000561055
27,1531.16,1.18494,0.74585,1.23095,0.82612,0.81957,0.85795,0.54816,1.35996,0.85584,1.30668,0.000539057,0.000539057,0.000539057
28,1587.56,1.16935,0.72501,1.22781,0.78189,0.835,0.85373,0.55007,1.36451,0.87712,1.30594,0.000517059,0.000517059,0.000517059
29,1643.94,1.15627,0.71887,1.21072,0.84225,0.832,0.86634,0.55585,1.34415,0.86711,1.29992,0.000495062,0.000495062,0.000495062
30,1700.38,1.14769,0.69805,1.21018,0.80169,0.8419,0.8553,0.55135,1.3852,0.87033,1.32534,0.000473064,0.000473064,0.000473064
31,1756.65,1.14855,0.68528,1.2108,0.83167,0.84147,0.85619,0.51782,1.45151,0.89567,1.36109,0.000451066,0.000451066,0.000451066
32,1812.93,1.13661,0.66567,1.19932,0.80588,0.85762,0.85163,0.53984,1.35416,0.84876,1.30816,0.000429068,0.000429068,0.000429068
